field	value
source_revision	418bf6c8531c47a052e673ac3c7edc5ca300ba4d
protocol_merge	f668e1e0f49f66b8bd8c244ca6fb667a9b39d896
runner_merge	418bf6c8531c47a052e673ac3c7edc5ca300ba4d
bioconductor_version	3.22
source_archive_sha256	5754de10fefe1bb386d58f3580d4fbce01889b8d3a882d00046a4722870b61e6
payload_verifier_sha256	41e2f983404e0c16fd6165d01bc0ad568d4fc303280fed8314093c06c45ded24
preflight_sha256	15edd92da9018203b1a58a55d128d1091fb04b165b64ae1197378b7c1907fb70
workflow	tracked local package -> scp -> ssh -> rbiocverse/hprcc preflight -> tracked Slurm launcher
cluster_contract	one deployer for caller-supplied cluster SSH alias
path_ownership	rbiocverse and hprcc resolve cluster paths, image, library, partition, binds, and controllers
submission_boundary	prepare-only by default; --submit is explicit
scientific_claim	implementation proof only; no acceptance result is claimed
